Service Description,Service Details,Musculoskeletal system diseases,Circulatory system diseases,Eye and adnexa diseases,Cancer,Nervous system diseases,Endocrine metabolic diseases,GI system diseases,Respiratory system diseases,GU system diseases,Ear and mastoid diseases,Skin subcutaneous diseases,Infectious diseases,Blood diseases,Injury,Mental health,Perinatal care
DME - Orthotic Devices,Ostomy,Others,All,All,All,Others,All,Ostomy,All,Others,All,All,All,All,All,All,All
DME - Other DME,Cardiac Catheter,Others,Cardiac Catheter,All,All,Others,Others,All,Others,All,All,All,All,All,Others,All,All
DME - Other DME,Cardiac Stent,Others,Cardiac Stent,All,All,Others,Others,All,Others,All,All,All,All,All,Others,All,All
DME - Other DME,Cardioverter - Defibrillator,Others,Cardioverter - Defibrillator,All,All,Others,Others,All,Others,All,All,All,All,All,Others,All,All
DME - Other DME,CPAP (sleep apnea),Others,CPAP (sleep apnea),All,All,CPAP (sleep apnea),CPAP (sleep apnea),All,CPAP (sleep apnea),All,All,All,All,All,Others,All,All
DME - Other DME,Diabetic Supplies and Monitoring,Others,Others,All,All,Others,Diabetic Supplies and Monitoring,All,Others,All,All,All,All,All,Others,All,All
DME - Other DME,Home Ventilator,Others,Others,All,All,Others,Others,All,Home Ventilator,All,All,All,All,All,Home Ventilator,All,All
DME - Other DME,Implantable Neurostimulator,Others,Others,All,All,Implantable Neurostimulator,Others,All,Others,All,All,All,All,All,Others,All,All
DME - Other DME,No RBCS Family,Others,Others,All,All,Others,Others,All,Others,All,All,All,All,All,Others,All,All
DME - Other DME,Orthopedic Screw,Orthopedic Screw,Others,All,All,Others,Others,All,Others,All,All,All,All,All,Others,All,All
DME - Other DME,Pacemaker,Others,Pacemaker,All,All,Others,Others,All,Others,All,All,All,All,All,Others,All,All
DME - Oxygen and Supplies,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
DME - Oxygen and Supplies,Oxygen Concentrator,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
DME - Wheelchairs,No RBCS Family,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others
DME - Wheelchairs,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories,Power Wheelchairs and Accessories
DME - Wheelchairs,Wheelchair Accessories,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others
E&M - Behavioral Health Services,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,Others,All
E&M - Behavioral Health Services,Psychotherapy - Group,All,All,All,All,All,All,All,All,All,All,All,All,All,All,Psychotherapy - Group,All
E&M - Behavioral Health Services,Psychotherapy - Nongroup,All,All,All,All,All,All,All,All,All,All,All,All,All,All,Psychotherapy - Nongroup,All
E&M - Care Management/Coordination,Chronic and Transitional Care Management,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Care Management/Coordination,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Critical Care Services,Critical Care E&M,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - E&M - Miscellaneous,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Emergency Department Services,Emergency Department E&M,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Emergency Department Services,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Home Services,Home E&M - New and Established,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Home Services,Home Health Skilled Services,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Home Services,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Hospice,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Hospital Inpatient Services,Hospital Discharge Management,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Hospital Inpatient Services,Hospital E&M - Initial,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Hospital Inpatient Services,Hospital E&M - Subsequent,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Hospital Inpatient Services,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Nursing Facility Services,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Nursing Facility Services,Rest Home E&M,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Nursing Facility Services,SNF E&M,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Observation Care Services,Observation Care,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Office/Outpatient Services,Annual Wellness Visits,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others
E&M - Office/Outpatient Services,FQHC E&M - Facility Fee,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others
E&M - Office/Outpatient Services,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee,Hospital Outpatient E&M - Facility Fee
E&M - Office/Outpatient Services,No RBCS Family,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others
E&M - Office/Outpatient Services,Office E&M - Established,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others
E&M - Office/Outpatient Services,Office E&M - New,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others,Others
E&M - Ophthalmological Services,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
E&M - Ophthalmological Services,Ophthalmological E&M,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Imaging - CT Scan,CT/CTA - Abdomen and Pelvis,Others,All,All,All,Others,All,CT/CTA - Abdomen and Pelvis,Others,CT/CTA - Abdomen and Pelvis,Others,All,All,All,All,All,All
Imaging - CT Scan,CT/CTA - Chest,Others,All,All,All,Others,All,Others,CT/CTA - Chest,Others,Others,All,All,All,All,All,All
Imaging - CT Scan,CT/CTA - Head and Neck,Others,All,All,All,CT/CTA - Head and Neck,All,Others,Others,Others,CT/CTA - Head and Neck,All,All,All,All,All,All
Imaging - CT Scan,CT/CTA - Spine,CT/CTA - Spine,All,All,All,Others,All,Others,Others,Others,Others,All,All,All,All,All,All
Imaging - CT Scan,No RBCS Family,Others,All,All,All,Others,All,Others,Others,Others,Others,All,All,All,All,All,All
Imaging - Imaging - Miscellaneous,Computerized Ophthalmic Imaging,All,All,Computerized Ophthalmic Imaging,All,All,All,All,All,All,All,All,All,All,All,All,All
Imaging - Imaging - Miscellaneous,No RBCS Family,All,All,Others,All,All,All,All,All,All,All,All,All,All,All,All,All
Imaging - Magnetic Resonance,MRI/MRA - Abdomen and Pelvis,Others,All,All,All,Others,All,MRI/MRA - Abdomen and Pelvis,All,MRI/MRA - Abdomen and Pelvis,Others,All,All,All,All,All,All
Imaging - Magnetic Resonance,MRI/MRA - Head and Neck,Others,All,All,All,MRI/MRA - Head and Neck,All,Others,All,Others,MRI/MRA - Head and Neck,All,All,All,All,All,All
Imaging - Magnetic Resonance,MRI/MRA - Lower Extremity,MRI/MRA - Lower Extremity,All,All,All,Others,All,Others,All,Others,Others,All,All,All,All,All,All
Imaging - Magnetic Resonance,MRI/MRA - Other,Others,All,All,All,Others,All,Others,All,Others,Others,All,All,All,All,All,All
Imaging - Magnetic Resonance,MRI/MRA - Spine,MRI/MRA - Spine,All,All,All,MRI/MRA - Spine,All,Others,All,Others,Others,All,All,All,All,All,All
Imaging - Nuclear,Myocardial Perfusion Scan,All,Myocardial Perfusion Scan,All,Others,All,All,All,All,All,All,All,All,All,All,All,All
Imaging - Nuclear,No RBCS Family,All,Others,All,Others,All,All,All,All,All,All,All,All,All,All,All,All
Imaging - Nuclear,PET- Oncology,All,Others,All,PET- Oncology,All,All,All,All,All,All,All,All,All,All,All,All
Imaging - Standard X-ray,Angiography,Others,Angiography,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
Imaging - Standard X-ray,Contrast Agent,Others,Others,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
Imaging - Standard X-ray,Mammography,Others,Others,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
Imaging - Standard X-ray,No RBCS Family,Others,Others,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
Imaging - Standard X-ray,X-ray - Chest,Others,Others,All,All,All,All,All,X-ray - Chest,All,All,All,All,All,All,All,All
Imaging - Standard X-ray,X-ray - Lower Extremity,X-ray - Lower Extremity,Others,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
Imaging - Standard X-ray,X-ray - Spine and Pelvis,X-ray - Spine and Pelvis,Others,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
Imaging - Standard X-ray,X-ray - Upper Extremity,X-ray - Upper Extremity,Others,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
Imaging - Ultrasound,Duplex Scan - Extracranial Arteries,All,Duplex Scan,All,All,All,All,Others,All,Others,All,All,All,All,All,All,Others
Imaging - Ultrasound,Duplex Scan - Extremity Arteries,All,Duplex Scan,All,All,All,All,Others,All,Others,All,All,All,All,All,All,Others
Imaging - Ultrasound,Duplex Scan - Extremity Veins,All,Duplex Scan,All,All,All,All,Others,All,Others,All,All,All,All,All,All,Others
Imaging - Ultrasound,Echocardiography (TTE/TEE),All,Echocardiography (TTE/TEE),All,All,All,All,Others,All,Others,All,All,All,All,All,All,Others
Imaging - Ultrasound,No RBCS Family,All,Others,All,All,All,All,Others,All,Others,All,All,All,All,All,All,Others
Imaging - Ultrasound,Ultrasound - Abdomen and Pelvis,All,Others,All,All,All,All,Ultrasound - Abdomen and Pelvis,All,Ultrasound - Abdomen and Pelvis,All,All,All,All,All,All,Ultrasound - Abdomen and Pelvis
Imaging - Ultrasound,Ultrasound - Nonspecific,All,Others,All,All,All,All,Others,All,Others,All,All,All,All,All,All,Others
Procedure - Breast,Breast Biopsy,All,All,All,Breast Biopsy,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Breast,Mastectomy,All,All,All,Mastectomy,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Breast,No RBCS Family,All,All,All,Others,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,"Aortic resection, replacement or anastomosis",All,"Aortic resection, replacement or anastomosis",All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Comprehensive Electrophysiologic Evaluation,All,Comprehensive Electrophysiologic Evaluation,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Coronary artery bypass graft (CABG),All,Coronary artery bypass graft (CABG),All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Electrographic cardiac monitoring,All,Electrographic cardiac monitoring,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Extracorporeal circulation auxiliary to open heart procedures,All,Extracorporeal circulation auxiliary to open heart procedures,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Heart valve procedures,All,Heart valve procedures,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Insertion/Removal/Replacement ICD,All,Insertion/Removal/Replacement ICD,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,No RBCS Family,All,Others,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Pacemaker Insertion or Repair,All,Pacemaker Insertion or Repair,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Pacemaker Removal,All,Pacemaker Removal,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Percutaneous Coronary Artery Angioplasty and Stenting,All,Percutaneous Coronary Artery Angioplasty and Stenting,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Cardiovascular,Percutaneous Transcatheterization,All,Percutaneous Transcatheterization,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Appendectomy,All,All,All,All,All,All,Appendectomy,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Cholecystectomy - Laparoscopic,All,All,All,All,All,All,Cholecystectomy - Laparoscopic,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Colonoscopy - Lesion Removal,All,All,All,All,All,All,Colonoscopy - Lesion Removal,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Colorectal resection,All,All,All,All,All,All,Colorectal resection,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,"Colostomy, temporary and permanent",All,All,All,All,All,All,"Colostomy, temporary and permanent",All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Exploratory laparotomy,All,All,All,All,All,All,Exploratory laparotomy,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,"Gastrectomy, partial and total",All,All,All,All,All,All,"Gastrectomy, partial and total",All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Gastric bypass and volume reduction,All,All,All,All,All,All,Gastric bypass and volume reduction,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,"Gastrostomy, temporary and permanent",All,All,All,All,All,All,"Gastrostomy, temporary and permanent",All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Hemorrhoid procedures,All,All,All,All,All,All,Hemorrhoid procedures,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Hernia Repair - Laparoscopic (any site),All,All,All,All,All,All,Hernia Repair - Laparoscopic (any site),All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Hernia Repair - Open (inguinal),All,All,All,All,All,All,Hernia Repair - Open (inguinal),All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Ileostomy and other enterostomy,All,All,All,All,All,All,Ileostomy and other enterostomy,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Lower GI Endoscopy - Other,All,All,All,All,All,All,Lower GI Endoscopy - Other,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,No RBCS Family,All,All,All,All,All,All,Others,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Procedures on spleen,All,All,All,All,All,All,Procedures on spleen,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Small bowel resection,All,All,All,All,All,All,Small bowel resection,All,All,All,All,All,All,All,All,All
Procedure - Digestive/Gastrointestinal,Upper GI Endoscopy,All,All,All,All,All,All,Upper GI Endoscopy,All,All,All,All,All,All,All,All,All
Procedure - Eye,Cataract Surgery,All,All,Cataract Surgery,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Eye,Corneal transplant,All,All,Corneal transplant,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Eye,Destruction of lesion of retina and choroid,All,All,Destruction of lesion of retina and choroid,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Eye,Diagnostic procedures on eye,All,All,Diagnostic procedures on eye,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Eye,Glaucoma procedures,All,All,Glaucoma procedures,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Eye,Intravitreal Injection,All,All,Intravitreal Injection,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Eye,No RBCS Family,All,All,Others,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Eye,"Repair of retinal tear, detachment",All,All,"Repair of retinal tear, detachment",All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Eye,Vitrectomy - Mechanical,All,All,Vitrectomy - Mechanical,All,All,All,All,All,All,All,All,All,All,All,All,All
Procedure - Hematology,No RBCS Family,All,All,All,Others,All,All,All,All,All,All,All,All,Others,All,All,All
Procedure - Hematology,Red Blood Cell Transfusion,All,All,All,Red Blood Cell Transfusion,All,All,All,All,All,All,All,All,Red Blood Cell Transfusion,All,All,All
Procedure - Musculoskeletal,Amputation of lower extremity,Amputation of lower extremity,All,All,All,All,All,All,All,All,All,All,All,All,Amputation of lower extremity,All,All
Procedure - Musculoskeletal,Arthrodesis - Spine,Arthrodesis - Spine,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Arthroplasty - Hip,Arthroplasty - Hip,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Arthroplasty - Knee,Arthroplasty - Knee,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Arthroplasty other than hip or knee,Arthroplasty other than hip or knee,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Arthroscopy - Lower Extremity,Arthroscopy - Lower Extremity,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Arthroscopy - Upper Extremity,Arthroscopy - Upper Extremity,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Bunionectomy or repair of toe deformities,Bunionectomy or repair of toe deformities,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Decompression peripheral nerve,Decompression peripheral nerve,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Destruction by Neurolytic Agent - Back,Destruction by Neurolytic Agent - Back,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,"Division of joint capsule, ligament or cartilage","Division of joint capsule, ligament or cartilage",All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Excision of semilunar cartilage of knee,Excision of semilunar cartilage of knee,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Joint Injection,Joint Injection,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Laminotomy or Laminectomy - Lumbar,Laminotomy or Laminectomy - Lumbar,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Nerve Block Injection - Back,Nerve Block Injection - Back,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Neurostimulator - Back,Neurostimulator - Back,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,No RBCS Family,Others,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Partial excision bone,Partial excision bone,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,Percutaneous Vertebroplasty,Percutaneous Vertebroplasty,All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,"Traction, splints, and other wound care","Traction, splints, and other wound care",All,All,All,All,All,All,All,All,All,All,All,All,Others,All,All
Procedure - Musculoskeletal,"Treatment, facial fracture or dislocation","Treatment, facial fracture or dislocation",All,All,All,All,All,All,All,All,All,All,All,All,"Treatment, facial fracture or dislocation",All,All
Procedure - Musculoskeletal,"Treatment, fracture or dislocation of hip and femur","Treatment, fracture or dislocation of hip and femur",All,All,All,All,All,All,All,All,All,All,All,All,"Treatment, fracture or dislocation of hip and femur",All,All
Procedure - Musculoskeletal,"Treatment, fracture or dislocation of lower extremity (other than hip or femur)","Treatment, fracture or dislocation of lower extremity (other than hip or femur)",All,All,All,All,All,All,All,All,All,All,All,All,"Treatment, fracture or dislocation of lower extremity (other than hip or femur)",All,All
Procedure - Musculoskeletal,"Treatment, fracture or dislocation of radius and ulna","Treatment, fracture or dislocation of radius and ulna",All,All,All,All,All,All,All,All,All,All,All,All,"Treatment, fracture or dislocation of radius and ulna",All,All
Procedure - Other Organ Systems,Bone marrow transplant,All,All,All,Bone marrow transplant,Others,Others,Others,Others,Others,Others,All,All,Bone marrow transplant,All,All,Others
Procedure - Other Organ Systems,Bronchoscopy,All,All,All,Others,Others,Others,Others,Bronchoscopy,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Calculus Removal - Urinary,All,All,All,Others,Others,Others,Others,Others,Calculus Removal - Urinary,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Cesarean section,All,All,All,Others,Others,Others,Others,Others,Others,Others,All,All,Others,All,All,Cesarean section
Procedure - Other Organ Systems,Cystourethroscopy,All,All,All,Others,Others,Others,Others,Others,Cystourethroscopy,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,"Dilatation and curettage (D&C), aspiration after delivery or abortion",All,All,All,Others,Others,Others,Others,Others,"Dilatation and curettage (D&C), aspiration after delivery or abortion",Others,All,All,Others,All,All,"Dilatation and curettage (D&C), aspiration after delivery or abortion"
Procedure - Other Organ Systems,Fetal monitoring,All,All,All,Others,Others,Others,Others,Others,Others,Others,All,All,Others,All,All,Fetal monitoring
Procedure - Other Organ Systems,"Forceps, vacuum, and breech delivery",All,All,All,Others,Others,Others,Others,Others,Others,Others,All,All,Others,All,All,"Forceps, vacuum, and breech delivery"
Procedure - Other Organ Systems,Gastric bypass and volume reduction,All,All,All,Others,Others,Gastric bypass and volume reduction,Gastric bypass and volume reduction,Others,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Genitourinary incontinence procedures,All,All,All,Others,Others,Others,Others,Others,Genitourinary incontinence procedures,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,"Hysterectomy, abdominal and vaginal",All,All,All,Others,Others,Others,Others,Others,"Hysterectomy, abdominal and vaginal",Others,All,All,Others,All,All,"Hysterectomy, abdominal and vaginal"
Procedure - Other Organ Systems,Incision and excision of CNS,All,All,All,Others,Incision and excision of CNS,Others,Others,Others,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,"Incision of pleura, thoracentesis, chest drainage",All,All,All,Others,Others,Others,Others,Others,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,"Insertion, replacement, or removal of extracranial ventricular shunt",All,All,All,Others,"Insertion, replacement, or removal of extracranial ventricular shunt",Others,Others,Others,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Kidney transplant,All,All,All,Others,Others,Others,Others,Others,Kidney transplant,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Lobectomy or pneumonectomy,All,All,All,Others,Others,Others,Others,Lobectomy or pneumonectomy,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Lymph Node Biopsy,All,All,All,Lymph Node Biopsy,Others,Others,Others,Others,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Mastoidectomy,All,All,All,Others,Others,Others,Others,Others,Others,Mastoidectomy,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Myringotomy,All,All,All,Others,Others,Others,Others,Others,Others,Myringotomy,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Nasal/Sinus Endoscopy,All,All,All,Others,Others,Others,Others,Nasal/Sinus Endoscopy,Others,Nasal/Sinus Endoscopy,All,All,Others,All,All,Others
Procedure - Other Organ Systems,"Nephrectomy, partial or complete",All,All,All,"Nephrectomy, partial or complete",Others,Others,Others,Others,"Nephrectomy, partial or complete",Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Nephrotomy and nephrostomy,All,All,All,Others,Others,Others,Others,Others,Nephrotomy and nephrostomy,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,No RBCS Family,All,All,All,Others,Others,Others,Others,Others,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,"Oophorectomy, unilateral and bilateral",All,All,All,"Oophorectomy, unilateral and bilateral",Others,Others,Others,Others,"Oophorectomy, unilateral and bilateral",Others,All,All,Others,All,All,"Oophorectomy, unilateral and bilateral"
Procedure - Other Organ Systems,Prostate Resection,All,All,All,Prostate Resection,Others,Others,Others,Others,Prostate Resection,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,"Thyroidectomy, partial or complete",All,All,All,"Thyroidectomy, partial or complete",Others,"Thyroidectomy, partial or complete",Others,Others,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Tonsillectomy and/or adenoidectomy,All,All,All,Others,Others,Others,Others,Others,Others,Tonsillectomy and/or adenoidectomy,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Tracheoscopy and laryngoscopy with biopsy,All,All,All,Others,Others,Others,Others,Tracheoscopy and laryngoscopy with biopsy,Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,"Tracheostomy, temporary and permanent",All,All,All,Others,Others,Others,Others,"Tracheostomy, temporary and permanent",Others,Others,All,All,Others,All,All,Others
Procedure - Other Organ Systems,Tympanoplasty,All,All,All,Others,Others,Others,Others,Others,Others,Tympanoplasty,All,All,Others,All,All,Others
