EPISODE_TYPE,Clinical_category,DEF_NAME,DEF_SUB,DEF_DESC,EPISODE_NAME,PAC_RF,PAC_DESC,flag
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC48,Fluid and Electrolyte disturbances,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y144,Heart Failure,Heart failure,PC59,Hypertensive crisis,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y145,Heart valve disorders,Heart valve disorders,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y145,Heart valve disorders,Heart valve disorders,PC047,"Drug overdose, underdose, and adverse effects - Diuretics",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y145,Heart valve disorders,Heart valve disorders,PC08,Cardiac dysrhythmias,0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y145,Heart valve disorders,Heart valve disorders,PC39,"Shock, cardiac arrest, ventricular fibrillation",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y145,Heart valve disorders,Heart valve disorders,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y145,Heart valve disorders,Heart valve disorders,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y145,Heart valve disorders,Heart valve disorders,PC13,Acute Respiratory Failure,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y145,Heart valve disorders,Heart valve disorders,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y145,Heart valve disorders,Heart valve disorders,PC59,Hypertensive crisis,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y146,Ischemic heart diseases,Coronary Artery Disease,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y146,Ischemic heart diseases,Coronary Artery Disease,PC047,"Drug overdose, underdose, and adverse effects - Diuretics",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y146,Ischemic heart diseases,Coronary Artery Disease,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y146,Ischemic heart diseases,Coronary Artery Disease,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y146,Ischemic heart diseases,Coronary Artery Disease,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y146,Ischemic heart diseases,Coronary Artery Disease,PC59,Hypertensive crisis,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y146,Ischemic heart diseases,Coronary Artery Disease,PC90,Post MI syndrome and related,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y147,Pulmonary heart disease,Lung-related heart disease,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y147,Pulmonary heart disease,Lung-related heart disease,PC047,"Drug overdose, underdose, and adverse effects - Diuretics",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y147,Pulmonary heart disease,Lung-related heart disease,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y147,Pulmonary heart disease,Lung-related heart disease,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y147,Pulmonary heart disease,Lung-related heart disease,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y147,Pulmonary heart disease,Lung-related heart disease,PC59,Hypertensive crisis,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y148,Paroxysmal supraventricular tachycardia,Intermittent racing heartbeat (PSVT),PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y148,Paroxysmal supraventricular tachycardia,Intermittent racing heartbeat (PSVT),PC39,"Shock, cardiac arrest, ventricular fibrillation",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y148,Paroxysmal supraventricular tachycardia,Intermittent racing heartbeat (PSVT),PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y148,Paroxysmal supraventricular tachycardia,Intermittent racing heartbeat (PSVT),PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y148,Paroxysmal supraventricular tachycardia,Intermittent racing heartbeat (PSVT),PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y149,Atrial fibrillation and flutter,Atrial fibrillation and atrial flutter,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y149,Atrial fibrillation and flutter,Atrial fibrillation and atrial flutter,PC39,"Shock, cardiac arrest, ventricular fibrillation",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y149,Atrial fibrillation and flutter,Atrial fibrillation and atrial flutter,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y149,Atrial fibrillation and flutter,Atrial fibrillation and atrial flutter,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y149,Atrial fibrillation and flutter,Atrial fibrillation and atrial flutter,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y150,Cardiomyopathy,Cardiomyopathy,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y150,Cardiomyopathy,Cardiomyopathy,PC39,"Shock, cardiac arrest, ventricular fibrillation",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y150,Cardiomyopathy,Cardiomyopathy,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y150,Cardiomyopathy,Cardiomyopathy,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y150,Cardiomyopathy,Cardiomyopathy,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y151,Heart block,Heart block,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y151,Heart block,Heart block,PC39,"Shock, cardiac arrest, ventricular fibrillation",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y151,Heart block,Heart block,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y151,Heart block,Heart block,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y151,Heart block,Heart block,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y153,Ventricular tachycardia,Abnormal heart rate/rhythm due to ventricular tachycardia,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y153,Ventricular tachycardia,Abnormal heart rate/rhythm due to ventricular tachycardia,PC39,"Shock, cardiac arrest, ventricular fibrillation",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y153,Ventricular tachycardia,Abnormal heart rate/rhythm due to ventricular tachycardia,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y153,Ventricular tachycardia,Abnormal heart rate/rhythm due to ventricular tachycardia,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y153,Ventricular tachycardia,Abnormal heart rate/rhythm due to ventricular tachycardia,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y154,Sick sinus syndrome,Abnormal heart rate/rhythm due to sick sinus syndrome,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y154,Sick sinus syndrome,Abnormal heart rate/rhythm due to sick sinus syndrome,PC39,"Shock, cardiac arrest, ventricular fibrillation",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y154,Sick sinus syndrome,Abnormal heart rate/rhythm due to sick sinus syndrome,PC03,Stroke/TIA,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y154,Sick sinus syndrome,Abnormal heart rate/rhythm due to sick sinus syndrome,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y154,Sick sinus syndrome,Abnormal heart rate/rhythm due to sick sinus syndrome,PC21,"Acute CHF, pulm edema",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y161,Peripheral asvd,Peripheral vascular disease,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y161,Peripheral asvd,Peripheral vascular disease,PC16,Aortic and peripheral arterial embolism or thrombosis,0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y161,Peripheral asvd,Peripheral vascular disease,PC17,Deep Vein Thrombosis (DVT) / Pulmonary Embolism (PE),1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y161,Peripheral asvd,Peripheral vascular disease,PC34,"Cellulitis, Local Skin Infection, gangrene",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y162,Chronic cutaneous ulcer,Chronic skin ulcer,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y162,Chronic cutaneous ulcer,Chronic skin ulcer,PC16,Aortic and peripheral arterial embolism or thrombosis,0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y162,Chronic cutaneous ulcer,Chronic skin ulcer,PC04,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y162,Chronic cutaneous ulcer,Chronic skin ulcer,PC15,Opportunistic Infections,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y162,Chronic cutaneous ulcer,Chronic skin ulcer,PC17,Deep Vein Thrombosis (DVT) / Pulmonary Embolism (PE),1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y162,Chronic cutaneous ulcer,Chronic skin ulcer,PC34,"Cellulitis, Local Skin Infection, gangrene",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y164,Aneurysm,Aneurysm,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y164,Aneurysm,Aneurysm,PC95,Aortic dissection/repture,0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y164,Aneurysm,Aneurysm,PC59,Hypertensive crisis,1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y170,Chronic embolism/thrombosis,Long-term blood clotting disorder,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y170,Chronic embolism/thrombosis,Long-term blood clotting disorder,PC16,Aortic and peripheral arterial embolism or thrombosis,0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y170,Chronic embolism/thrombosis,Long-term blood clotting disorder,PC038,"Drug overdose, underdose, and adverse effects - hematological agents",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y170,Chronic embolism/thrombosis,Long-term blood clotting disorder,PC17,Deep Vein Thrombosis (DVT) / Pulmonary Embolism (PE),1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y170,Chronic embolism/thrombosis,Long-term blood clotting disorder,PC34,"Cellulitis, Local Skin Infection, gangrene",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y171,Venous insufficiency varicosities,Varicose veins due to venous insufficiency,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y171,Venous insufficiency varicosities,Varicose veins due to venous insufficiency,PC16,Aortic and peripheral arterial embolism or thrombosis,0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y171,Venous insufficiency varicosities,Varicose veins due to venous insufficiency,PC17,Deep Vein Thrombosis (DVT) / Pulmonary Embolism (PE),1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y171,Venous insufficiency varicosities,Varicose veins due to venous insufficiency,PC34,"Cellulitis, Local Skin Infection, gangrene",1
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y173,Lymphedema,Swelling due to lymph node damage,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Circulatory system diseases,PPI_CH_MED,PPI_CH_MED_Y173,Lymphedema,Swelling due to lymph node damage,PC34,"Cellulitis, Local Skin Infection, gangrene",1
Chronic Medical,Ear and mastoid diseases,PPI_CH_MED,PPI_CH_MED_Y141,Chronic otitis media,Chronic ear infection,PC045,"Drug overdose, underdose, and adverse effects - otorhinolaryngological drugs",0
Chronic Medical,Ear and mastoid diseases,PPI_CH_MED,PPI_CH_MED_Y141,Chronic otitis media,Chronic ear infection,PC23,Acute mastoid complications,0
Chronic Medical,Ear and mastoid diseases,PPI_CH_MED,PPI_CH_MED_Y141,Chronic otitis media,Chronic ear infection,PC89,Deafness and Hearing Impairment,0
Chronic Medical,Ear and mastoid diseases,PPI_CH_MED,PPI_CH_MED_Y143,Deafness and Hearing Impairment,Hearing loss and impairment,PC045,"Drug overdose, underdose, and adverse effects - otorhinolaryngological drugs",0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y036,Hypothyroidism,Underactive thyroid,PC021,"Drug overdose, underdose, and adverse effects -thyroid drugs",0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y036,Hypothyroidism,Underactive thyroid,PC061,Myxedema coma,0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y037,Goiter,Enlarged thyroid,PC021,"Drug overdose, underdose, and adverse effects -thyroid drugs",0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y037,Goiter,Enlarged thyroid,PC061,Myxedema coma,0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y038,Thyrotoxicosis w/o goiter,Overactive thyroid,PC021,"Drug overdose, underdose, and adverse effects -thyroid drugs",0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y038,Thyrotoxicosis w/o goiter,Overactive thyroid,PC061,Myxedema coma,0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y041,Diabetes,Chronic diabetes,PC011,Retinal detachment,0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y041,Diabetes,Chronic diabetes,PC012,Vitreous prolapse,0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y041,Diabetes,Chronic diabetes,PC013,Vitrious hemorrhage,0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y041,Diabetes,Chronic diabetes,PC049,"Drug overdose, underdose, and adverse effects -insulin and oral hypoglycemic drugs",0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y041,Diabetes,Chronic diabetes,PC318,Complication of Implanted device/graft - insulin pump,0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y041,Diabetes,Chronic diabetes,PC03,Stroke/TIA,1
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y041,Diabetes,Chronic diabetes,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y041,Diabetes,Chronic diabetes,PC128,Acute Encephalopathy,1
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y041,Diabetes,Chronic diabetes,PC20,"Diabetic Emergency, Hypo- Hyper-glycemia",1
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y045,Parathyroid disease,Parathyroid gland disorder,PC48,Fluid and Electrolyte disturbances,1
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y053,Testicular dysfunction,Problems with testicular function,PC051,"Drug overdose, underdose, and adverse effects -sex hormones",0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y057,Obesity/overweight,Obesity/overweight,PC054,"Drug overdose, underdose, and adverse effects - appetite depressants",0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y057,Obesity/overweight,Obesity/overweight,PC48,Fluid and Electrolyte disturbances,1
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y061,Hyperlipidemia,High cholesterol,PC039,"Drug overdose, underdose, and adverse effects - cardiovascular systtem drugs",0
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y061,Hyperlipidemia,High cholesterol,PC03,Stroke/TIA,1
Chronic Medical,Endocrine/metabolic diseases,PPI_CH_MED,PPI_CH_MED_Y061,Hyperlipidemia,High cholesterol,PC09,"Acute Myocardial Infarction, Coronary thrombolysis",1
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y042,Cataract,Cataract,PC011,Retinal detachment,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y042,Cataract,Cataract,PC012,Vitreous prolapse,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y042,Cataract,Cataract,PC013,Vitrious hemorrhage,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y042,Cataract,Cataract,PC014,Inflammation/infection of eye,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y042,Cataract,Cataract,PC044,"Drug overdose, underdose, and adverse effects -ophthalmological drugs",0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y042,Cataract,Cataract,PC94,Visual impairment/blind,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y128,Retinal detachment,Retinal detachment,PC012,Vitreous prolapse,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y128,Retinal detachment,Retinal detachment,PC013,Vitrious hemorrhage,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y128,Retinal detachment,Retinal detachment,PC014,Inflammation/infection of eye,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y128,Retinal detachment,Retinal detachment,PC044,"Drug overdose, underdose, and adverse effects -ophthalmological drugs",0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y128,Retinal detachment,Retinal detachment,PC94,Visual impairment/blind,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y129,Retinal vascular occlusion,Blockage of vein or artery in the retina (eye),PC011,Retinal detachment,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y129,Retinal vascular occlusion,Blockage of vein or artery in the retina (eye),PC012,Vitreous prolapse,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y129,Retinal vascular occlusion,Blockage of vein or artery in the retina (eye),PC013,Vitrious hemorrhage,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y129,Retinal vascular occlusion,Blockage of vein or artery in the retina (eye),PC014,Inflammation/infection of eye,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y129,Retinal vascular occlusion,Blockage of vein or artery in the retina (eye),PC044,"Drug overdose, underdose, and adverse effects -ophthalmological drugs",0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y129,Retinal vascular occlusion,Blockage of vein or artery in the retina (eye),PC94,Visual impairment/blind,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y134,Age-related macular degeneration,Age-related macular degeneration,PC011,Retinal detachment,0
Chronic Medical,Eye and adnexa diseases,PPI_CH_MED,PPI_CH_MED_Y134,Age-related macular degeneration,Age-related macular degeneration,PC012,Vitreous prolapse,0
