Clinical_category,Episode_type,Episode_name,def_sub,spec_cd,Spec_desc,Spec_type
Blood diseases,Chronic Medical,Purpura and thrombocytopenia,PPI_CH_MED_Y026,90,Medical oncology,SCP
Blood diseases,IP Medical,Anemia,PPI_IP_MED_M083,01,General practice,PCP
Blood diseases,IP Medical,Anemia,PPI_IP_MED_M083,08,Family practice,PCP
Blood diseases,IP Medical,Anemia,PPI_IP_MED_M083,11,Internal medicine,PCP
Blood diseases,IP Medical,Anemia,PPI_IP_MED_M083,C9,Hematopoietic cell transplantation and cellular therapy,PROC
Blood diseases,IP Medical,Anemia,PPI_IP_MED_M083,82,Hematology,SCP
Blood diseases,IP Medical,Anemia,PPI_IP_MED_M083,83,Hematology/oncology,SCP
Blood diseases,IP Medical,Anemia,PPI_IP_MED_M083,90,Medical oncology,SCP
Blood diseases,IP Medical,Anemia,PPI_IP_MED_M083,C6,Hospitalist,SCP
Cancer,OP Medical Oncology,Med Onc - Breast cancer,PPI_CHEMO_01,83,Hematology/oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Breast cancer,PPI_CHEMO_01,90,Medical oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Chronic leukemia,PPI_CHEMO_02,C9,Hematopoietic cell transplantation and cellular therapy,PROC
Cancer,OP Medical Oncology,Med Onc - Chronic leukemia,PPI_CHEMO_02,82,Hematology,SCP
Cancer,OP Medical Oncology,Med Onc - Chronic leukemia,PPI_CHEMO_02,83,Hematology/oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Chronic leukemia,PPI_CHEMO_02,90,Medical oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Lung cancer,PPI_CHEMO_03,82,Hematology,SCP
Cancer,OP Medical Oncology,Med Onc - Lung cancer,PPI_CHEMO_03,83,Hematology/oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Lung cancer,PPI_CHEMO_03,90,Medical oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Lymphoma,PPI_CHEMO_04,C9,Hematopoietic cell transplantation and cellular therapy,PROC
Cancer,OP Medical Oncology,Med Onc - Lymphoma,PPI_CHEMO_04,82,Hematology,SCP
Cancer,OP Medical Oncology,Med Onc - Lymphoma,PPI_CHEMO_04,83,Hematology/oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Lymphoma,PPI_CHEMO_04,90,Medical oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Multiple myeloma,PPI_CHEMO_05,C9,Hematopoietic cell transplantation and cellular therapy,PROC
Cancer,OP Medical Oncology,Med Onc - Multiple myeloma,PPI_CHEMO_05,82,Hematology,SCP
Cancer,OP Medical Oncology,Med Onc - Multiple myeloma,PPI_CHEMO_05,83,Hematology/oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Multiple myeloma,PPI_CHEMO_05,90,Medical oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Prostate cancer,PPI_CHEMO_06,34,Urology,SCP
Cancer,OP Medical Oncology,Med Onc - Prostate cancer,PPI_CHEMO_06,83,Hematology/oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Prostate cancer,PPI_CHEMO_06,90,Medical oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Small intestine/colorectal cancer,PPI_CHEMO_07,83,Hematology/oncology,SCP
Cancer,OP Medical Oncology,Med Onc - Small intestine/colorectal cancer,PPI_CHEMO_07,90,Medical oncology,SCP
Cancer,Radiation Oncology,Rad Onc - Anal cancer,PPI_RO_01,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Bladder cancer,PPI_RO_02,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Bone metastases,PPI_RO_03,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Brain metastases,PPI_RO_04,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Breast cancer,PPI_RO_05,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - CNS tumors,PPI_RO_07,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Cervical cancer,PPI_RO_06,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Colorectal cancer,PPI_RO_08,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Hand and neck cancer,PPI_RO_09,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Lung cancer,PPI_RO_10,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Lymphoma,PPI_RO_11,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Pancreatic cancer,PPI_RO_12,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Prostate cancer,PPI_RO_13,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Upper GI cancer,PPI_RO_14,92,Radiation oncology,PROC
Cancer,Radiation Oncology,Rad Onc - Uterine cancer,PPI_RO_15,92,Radiation oncology,PROC
Circulatory system diseases,Chronic Medical,Aneurysm,PPI_CH_MED_Y164,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Aneurysm,PPI_CH_MED_Y164,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Aneurysm,PPI_CH_MED_Y164,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Aneurysm,PPI_CH_MED_Y164,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Aneurysm,PPI_CH_MED_Y164,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Atrial fibrillation and flutter,PPI_CH_MED_Y149,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Atrial fibrillation and flutter,PPI_CH_MED_Y149,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Atrial fibrillation and flutter,PPI_CH_MED_Y149,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Atrial fibrillation and flutter,PPI_CH_MED_Y149,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Atrial fibrillation and flutter,PPI_CH_MED_Y149,21,Cardiac electrophysiology,PROC
Circulatory system diseases,Chronic Medical,Atrial fibrillation and flutter,PPI_CH_MED_Y149,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Cardiomyopathy,PPI_CH_MED_Y150,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Cardiomyopathy,PPI_CH_MED_Y150,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Cardiomyopathy,PPI_CH_MED_Y150,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Cardiomyopathy,PPI_CH_MED_Y150,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Cardiomyopathy,PPI_CH_MED_Y150,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Cardiomyopathy,PPI_CH_MED_Y150,C7,Advanced heart failure and transplant cardiology,SCP
Circulatory system diseases,Chronic Medical,Cerebrovascular disease,PPI_CH_MED_Y106,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Cerebrovascular disease,PPI_CH_MED_Y106,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Cerebrovascular disease,PPI_CH_MED_Y106,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Cerebrovascular disease,PPI_CH_MED_Y106,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Cerebrovascular disease,PPI_CH_MED_Y106,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Cerebrovascular disease,PPI_CH_MED_Y106,13,Neurology,SCP
Circulatory system diseases,Chronic Medical,Chronic cutaneous ulcer,PPI_CH_MED_Y162,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Chronic cutaneous ulcer,PPI_CH_MED_Y162,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Chronic cutaneous ulcer,PPI_CH_MED_Y162,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Chronic cutaneous ulcer,PPI_CH_MED_Y162,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Chronic cutaneous ulcer,PPI_CH_MED_Y162,24,Plastic and reconstructive surgery,PROC
Circulatory system diseases,Chronic Medical,Chronic cutaneous ulcer,PPI_CH_MED_Y162,48,Podiatry,PROC
Circulatory system diseases,Chronic Medical,Chronic cutaneous ulcer,PPI_CH_MED_Y162,77,Vascular surgery,PROC
Circulatory system diseases,Chronic Medical,Chronic cutaneous ulcer,PPI_CH_MED_Y162,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Chronic cutaneous ulcer,PPI_CH_MED_Y162,25,Physical medicine and rehabilitation,SCP
Circulatory system diseases,Chronic Medical,Chronic embolism/thrombosis,PPI_CH_MED_Y170,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Chronic embolism/thrombosis,PPI_CH_MED_Y170,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Chronic embolism/thrombosis,PPI_CH_MED_Y170,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Chronic embolism/thrombosis,PPI_CH_MED_Y170,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Chronic embolism/thrombosis,PPI_CH_MED_Y170,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Chronic embolism/thrombosis,PPI_CH_MED_Y170,83,Hematology/oncology,SCP
Circulatory system diseases,Chronic Medical,Heart Failure,PPI_CH_MED_Y144,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Heart Failure,PPI_CH_MED_Y144,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Heart Failure,PPI_CH_MED_Y144,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Heart Failure,PPI_CH_MED_Y144,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Heart Failure,PPI_CH_MED_Y144,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Heart Failure,PPI_CH_MED_Y144,C7,Advanced heart failure and transplant cardiology,SCP
Circulatory system diseases,Chronic Medical,Heart block,PPI_CH_MED_Y151,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Heart block,PPI_CH_MED_Y151,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Heart block,PPI_CH_MED_Y151,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Heart block,PPI_CH_MED_Y151,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Heart block,PPI_CH_MED_Y151,21,Cardiac electrophysiology,PROC
Circulatory system diseases,Chronic Medical,Heart block,PPI_CH_MED_Y151,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Heart valve disorders,PPI_CH_MED_Y145,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Heart valve disorders,PPI_CH_MED_Y145,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Heart valve disorders,PPI_CH_MED_Y145,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Heart valve disorders,PPI_CH_MED_Y145,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Heart valve disorders,PPI_CH_MED_Y145,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Hypertension,PPI_CH_MED_Y131,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Hypertension,PPI_CH_MED_Y131,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Hypertension,PPI_CH_MED_Y131,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Hypertension,PPI_CH_MED_Y131,37,Pediatric medicine,PCP
Circulatory system diseases,Chronic Medical,Hypertension,PPI_CH_MED_Y131,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Hypertension,PPI_CH_MED_Y131,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Ischemic heart diseases,PPI_CH_MED_Y146,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Ischemic heart diseases,PPI_CH_MED_Y146,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Ischemic heart diseases,PPI_CH_MED_Y146,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Ischemic heart diseases,PPI_CH_MED_Y146,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Ischemic heart diseases,PPI_CH_MED_Y146,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,24,Plastic and reconstructive surgery,PROC
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,77,Vascular surgery,PROC
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,91,Surgical oncology,PROC
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,25,Physical medicine and rehabilitation,SCP
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,83,Hematology/oncology,SCP
Circulatory system diseases,Chronic Medical,Lymphedema,PPI_CH_MED_Y173,90,Medical oncology,SCP
Circulatory system diseases,Chronic Medical,Paroxysmal supraventricular tachycardia,PPI_CH_MED_Y148,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Paroxysmal supraventricular tachycardia,PPI_CH_MED_Y148,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Paroxysmal supraventricular tachycardia,PPI_CH_MED_Y148,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Paroxysmal supraventricular tachycardia,PPI_CH_MED_Y148,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Paroxysmal supraventricular tachycardia,PPI_CH_MED_Y148,21,Cardiac electrophysiology,PROC
Circulatory system diseases,Chronic Medical,Paroxysmal supraventricular tachycardia,PPI_CH_MED_Y148,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Peripheral asvd,PPI_CH_MED_Y161,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Peripheral asvd,PPI_CH_MED_Y161,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Peripheral asvd,PPI_CH_MED_Y161,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Peripheral asvd,PPI_CH_MED_Y161,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Peripheral asvd,PPI_CH_MED_Y161,48,Podiatry,PROC
Circulatory system diseases,Chronic Medical,Peripheral asvd,PPI_CH_MED_Y161,77,Vascular surgery,PROC
Circulatory system diseases,Chronic Medical,Peripheral asvd,PPI_CH_MED_Y161,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Pulmonary heart disease,PPI_CH_MED_Y147,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Pulmonary heart disease,PPI_CH_MED_Y147,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Pulmonary heart disease,PPI_CH_MED_Y147,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Pulmonary heart disease,PPI_CH_MED_Y147,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Pulmonary heart disease,PPI_CH_MED_Y147,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Pulmonary heart disease,PPI_CH_MED_Y147,29,Pulmonary disease,SCP
Circulatory system diseases,Chronic Medical,Sick sinus syndrome,PPI_CH_MED_Y154,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Sick sinus syndrome,PPI_CH_MED_Y154,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Sick sinus syndrome,PPI_CH_MED_Y154,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Sick sinus syndrome,PPI_CH_MED_Y154,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Sick sinus syndrome,PPI_CH_MED_Y154,21,Cardiac electrophysiology,PROC
Circulatory system diseases,Chronic Medical,Sick sinus syndrome,PPI_CH_MED_Y154,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Venous insufficiency varicosities,PPI_CH_MED_Y171,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Venous insufficiency varicosities,PPI_CH_MED_Y171,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Venous insufficiency varicosities,PPI_CH_MED_Y171,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Venous insufficiency varicosities,PPI_CH_MED_Y171,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Venous insufficiency varicosities,PPI_CH_MED_Y171,77,Vascular surgery,PROC
Circulatory system diseases,Chronic Medical,Venous insufficiency varicosities,PPI_CH_MED_Y171,06,Cardiology,SCP
Circulatory system diseases,Chronic Medical,Ventricular tachycardia,PPI_CH_MED_Y153,01,General practice,PCP
Circulatory system diseases,Chronic Medical,Ventricular tachycardia,PPI_CH_MED_Y153,08,Family practice,PCP
Circulatory system diseases,Chronic Medical,Ventricular tachycardia,PPI_CH_MED_Y153,11,Internal medicine,PCP
Circulatory system diseases,Chronic Medical,Ventricular tachycardia,PPI_CH_MED_Y153,38,Geriatric medicine,PCP
Circulatory system diseases,Chronic Medical,Ventricular tachycardia,PPI_CH_MED_Y153,21,Cardiac electrophysiology,PROC
Circulatory system diseases,Chronic Medical,Ventricular tachycardia,PPI_CH_MED_Y153,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Acute myocardial infarction,PPI_IP_MED_M029,01,General practice,PCP
Circulatory system diseases,IP Medical,Acute myocardial infarction,PPI_IP_MED_M029,08,Family practice,PCP
Circulatory system diseases,IP Medical,Acute myocardial infarction,PPI_IP_MED_M029,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,Acute myocardial infarction,PPI_IP_MED_M029,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Acute myocardial infarction,PPI_IP_MED_M029,C6,Hospitalist,SCP
Circulatory system diseases,IP Medical,Atherosclerosis,PPI_IP_MED_M034,01,General practice,PCP
Circulatory system diseases,IP Medical,Atherosclerosis,PPI_IP_MED_M034,08,Family practice,PCP
Circulatory system diseases,IP Medical,Atherosclerosis,PPI_IP_MED_M034,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,Atherosclerosis,PPI_IP_MED_M034,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Atherosclerosis,PPI_IP_MED_M034,C6,Hospitalist,SCP
Circulatory system diseases,IP Medical,Cardiac arrhythmia,PPI_IP_MED_M037,01,General practice,PCP
Circulatory system diseases,IP Medical,Cardiac arrhythmia,PPI_IP_MED_M037,08,Family practice,PCP
Circulatory system diseases,IP Medical,Cardiac arrhythmia,PPI_IP_MED_M037,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,Cardiac arrhythmia,PPI_IP_MED_M037,21,Cardiac electrophysiology,PROC
Circulatory system diseases,IP Medical,Cardiac arrhythmia,PPI_IP_MED_M037,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Cardiac arrhythmia,PPI_IP_MED_M037,C6,Hospitalist,SCP
Circulatory system diseases,IP Medical,Chest pain,PPI_IP_MED_M040,01,General practice,PCP
Circulatory system diseases,IP Medical,Chest pain,PPI_IP_MED_M040,08,Family practice,PCP
Circulatory system diseases,IP Medical,Chest pain,PPI_IP_MED_M040,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,Chest pain,PPI_IP_MED_M040,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Chest pain,PPI_IP_MED_M040,C6,Hospitalist,SCP
Circulatory system diseases,IP Medical,"Circulatory disorders except ami, w card cath",PPI_IP_MED_M030,01,General practice,PCP
Circulatory system diseases,IP Medical,"Circulatory disorders except ami, w card cath",PPI_IP_MED_M030,08,Family practice,PCP
Circulatory system diseases,IP Medical,"Circulatory disorders except ami, w card cath",PPI_IP_MED_M030,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,"Circulatory disorders except ami, w card cath",PPI_IP_MED_M030,C3,Interventional cardiology,PROC
Circulatory system diseases,IP Medical,"Circulatory disorders except ami, w card cath",PPI_IP_MED_M030,06,Cardiology,SCP
Circulatory system diseases,IP Medical,"Circulatory disorders except ami, w card cath",PPI_IP_MED_M030,C6,Hospitalist,SCP
Circulatory system diseases,IP Medical,Congestive heart failure,PPI_IP_MED_M032,01,General practice,PCP
Circulatory system diseases,IP Medical,Congestive heart failure,PPI_IP_MED_M032,08,Family practice,PCP
Circulatory system diseases,IP Medical,Congestive heart failure,PPI_IP_MED_M032,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,Congestive heart failure,PPI_IP_MED_M032,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Congestive heart failure,PPI_IP_MED_M032,C6,Hospitalist,SCP
Circulatory system diseases,IP Medical,Congestive heart failure,PPI_IP_MED_M032,C7,Advanced heart failure and transplant cardiology,SCP
Circulatory system diseases,IP Medical,Hypertension,PPI_IP_MED_M035,01,General practice,PCP
Circulatory system diseases,IP Medical,Hypertension,PPI_IP_MED_M035,08,Family practice,PCP
Circulatory system diseases,IP Medical,Hypertension,PPI_IP_MED_M035,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,Hypertension,PPI_IP_MED_M035,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Hypertension,PPI_IP_MED_M035,C6,Hospitalist,SCP
Circulatory system diseases,IP Medical,Peripheral vascular disorders,PPI_IP_MED_M033,01,General practice,PCP
Circulatory system diseases,IP Medical,Peripheral vascular disorders,PPI_IP_MED_M033,08,Family practice,PCP
Circulatory system diseases,IP Medical,Peripheral vascular disorders,PPI_IP_MED_M033,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,Peripheral vascular disorders,PPI_IP_MED_M033,77,Vascular surgery,PROC
Circulatory system diseases,IP Medical,Peripheral vascular disorders,PPI_IP_MED_M033,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Peripheral vascular disorders,PPI_IP_MED_M033,C6,Hospitalist,SCP
Circulatory system diseases,IP Medical,Pulmonary embolism,PPI_IP_MED_M019,01,General practice,PCP
Circulatory system diseases,IP Medical,Pulmonary embolism,PPI_IP_MED_M019,08,Family practice,PCP
Circulatory system diseases,IP Medical,Pulmonary embolism,PPI_IP_MED_M019,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,Pulmonary embolism,PPI_IP_MED_M019,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Pulmonary embolism,PPI_IP_MED_M019,C6,Hospitalist,SCP
Circulatory system diseases,IP Medical,Syncope & collapse,PPI_IP_MED_M039,01,General practice,PCP
Circulatory system diseases,IP Medical,Syncope & collapse,PPI_IP_MED_M039,08,Family practice,PCP
Circulatory system diseases,IP Medical,Syncope & collapse,PPI_IP_MED_M039,11,Internal medicine,PCP
Circulatory system diseases,IP Medical,Syncope & collapse,PPI_IP_MED_M039,21,Cardiac electrophysiology,PROC
Circulatory system diseases,IP Medical,Syncope & collapse,PPI_IP_MED_M039,06,Cardiology,SCP
Circulatory system diseases,IP Medical,Syncope & collapse,PPI_IP_MED_M039,C6,Hospitalist,SCP
Circulatory system diseases,IP Procedure,Aortic and heart assist procedures except for puls,PPI_IP_PROC_P17,02,General surgery,PROC
Circulatory system diseases,IP Procedure,Aortic and heart assist procedures except for puls,PPI_IP_PROC_P17,33,Thoracic surgery,PROC
Circulatory system diseases,IP Procedure,Aortic and heart assist procedures except for puls,PPI_IP_PROC_P17,77,Vascular surgery,PROC
Circulatory system diseases,IP Procedure,Aortic and heart assist procedures except for puls,PPI_IP_PROC_P17,78,Cardiac surgery,PROC
Circulatory system diseases,IP Procedure,Aortic and heart assist procedures except for puls,PPI_IP_PROC_P17,06,Cardiology,SCP
Circulatory system diseases,IP Procedure,Cardiac valve surgery,PPI_IP_PROC_P18,33,Thoracic surgery,PROC
