MS-DRG ,MDC,TYPE,MS-DRG Title,Weights,Geometric mean LOS,Arithmetic mean LOS,FY
002,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,13.4731,12.3,14.9,2023
003,PRE,P,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",17.6569,25.5,31.7,2016
003,PRE,SURG,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",17.9495,25.3,31.9,2017
003,PRE,SURG,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",17.6245,24.3,30.9,2018
003,PRE,SURG,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",18.2974,23.4,30.1,2019
003,PRE,SURG,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",18.9539,22.9,30.4,2020
003,PRE,SURG,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",18.9911,22.4,30.2,2021
003,PRE,SURG,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",19.1055,22.4,30.2,2022
003,PRE,SURG,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",20.2371,24.7,33.2,2023
004,PRE,P,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",10.9458,20.0,24.1,2016
004,PRE,SURG,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",10.9257,20.1,24.4,2017
004,PRE,SURG,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",11.0663,19.4,23.8,2018
004,PRE,SURG,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",11.4192,19.5,23.6,2019
004,PRE,SURG,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",11.5438,19.6,23.8,2020
004,PRE,SURG,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",11.8620,19.9,24.5,2021
004,PRE,SURG,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",11.9225,20.0,24.6,2022
004,PRE,SURG,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",13.7317,24.2,29.2,2023
005,PRE,P,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.7263,15.3,21.0,2016
005,PRE,SURG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.2721,15.4,21.3,2017
005,PRE,SURG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.439,15.3,20.7,2018
005,PRE,SURG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.2545,14.6,20.0,2019
005,PRE,SURG,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,10.3127,14.5,19.5,2020
005,PRE,SURG,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,10.2233,14.4,19.4,2021
005,PRE,SURG,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,10.2350,14.4,19.4,2022
005,PRE,SURG,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,11.4070,15.0,20.6,2023
006,PRE,P,LIVER TRANSPLANT W/O MCC,4.8330,7.9,8.8,2016
006,PRE,SURG,LIVER TRANSPLANT W/O MCC,4.8095,7.7,8.5,2017
006,PRE,SURG,LIVER TRANSPLANT W/O MCC,4.5018,7.8,8.5,2018
006,PRE,SURG,LIVER TRANSPLANT W/O MCC,4.8655,7.9,8.6,2019
006,PRE,SURG,LIVER TRANSPLANT W/O MCC,4.8719,7.6,8.2,2020
006,PRE,SURG,LIVER TRANSPLANT WITHOUT MCC,4.6917,7.5,8.1,2021
006,PRE,SURG,LIVER TRANSPLANT WITHOUT MCC,4.6964,7.5,8.1,2022
006,PRE,SURG,LIVER TRANSPLANT WITHOUT MCC,4.8093,7.6,8.4,2023
007,PRE,P,LUNG TRANSPLANT,9.7007,15.8,18.8,2016
007,PRE,SURG,LUNG TRANSPLANT,9.6933,15.9,18.5,2017
007,PRE,SURG,LUNG TRANSPLANT,9.7921,16,18.7,2018
007,PRE,SURG,LUNG TRANSPLANT,10.6510,16.7,20.2,2019
007,PRE,SURG,LUNG TRANSPLANT,10.7863,17.2,20.2,2020
007,PRE,SURG,LUNG TRANSPLANT,11.5743,17.4,20.8,2021
007,PRE,SURG,LUNG TRANSPLANT,11.5800,17.4,20.8,2022
007,PRE,SURG,LUNG TRANSPLANT,12.2073,17.8,21.2,2023
008,PRE,P,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.4338,9.8,11.4,2016
008,PRE,SURG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.4864,9.3,10.6,2017
008,PRE,SURG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.062,9.2,10.7,2018
008,PRE,SURG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.2490,8.9,10.1,2019
008,PRE,SURG,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,5.6161,8.8,10.1,2020
008,PRE,SURG,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,5.4268,9.0,10.2,2021
008,PRE,SURG,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,5.4333,9.0,10.2,2022
008,PRE,SURG,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,5.5911,8.7,10.1,2023
010,PRE,P,PANCREAS TRANSPLANT,4.3039,8.1,9.5,2016
010,PRE,SURG,PANCREAS TRANSPLANT,3.8403,8.0,9.1,2017
010,PRE,SURG,PANCREAS TRANSPLANT,4.3722,8.1,9,2018
010,PRE,SURG,PANCREAS TRANSPLANT,4.5139,7.8,8.5,2019
010,PRE,SURG,PANCREAS TRANSPLANT,3.9761,7.5,8.4,2020
010,PRE,SURG,PANCREAS TRANSPLANT,3.6177,8.0,9.1,2021
010,PRE,SURG,PANCREAS TRANSPLANT,3.6200,8.0,9.1,2022
010,PRE,SURG,PANCREAS TRANSPLANT,4.1468,7.4,7.8,2023
011,PRE,P,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",4.7501,11.3,13.8,2016
011,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",5.0013,11.5,14.3,2017
011,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",4.9191,10.9,13.5,2018
011,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC",4.9124,10.9,13.4,2019
011,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC",4.9438,11.0,13.5,2020
011,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",5.0164,10.9,13.8,2021
011,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",5.0214,10.9,13.8,2022
011,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",5.1652,11.7,14.5,2023
012,PRE,P,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",3.4047,8.4,9.8,2016
012,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",3.4858,8.5,9.9,2017
012,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",3.5236,8.5,9.7,2018
012,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC",3.8137,8.7,9.8,2019
012,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC",3.7740,8.5,9.7,2020
012,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",3.8319,8.3,9.4,2021
012,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",3.8328,8.3,9.4,2022
012,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",3.9095,8.4,9.6,2023
013,PRE,P,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",2.1906,5.8,6.6,2016
013,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",2.2677,5.9,6.8,2017
013,PRE,SURG,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",2.4088,6,6.8,2018
013,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC",2.3265,5.9,6.7,2019
013,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC",2.4253,6.0,6.7,2020
013,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",2.7205,6.0,6.8,2021
013,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",2.7238,6.0,6.8,2022
013,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",2.8283,6.4,7.2,2023
014,PRE,P,ALLOGENEIC BONE MARROW TRANSPLANT,11.5928,22.7,27.5,2016
014,PRE,SURG,ALLOGENEIC BONE MARROW TRANSPLANT,11.6407,23.8,27.9,2017
014,PRE,SURG,ALLOGENEIC BONE MARROW TRANSPLANT,11.6353,23.9,27.4,2018
014,PRE,SURG,ALLOGENEIC BONE MARROW TRANSPLANT,11.9503,24.1,27.4,2019
014,PRE,SURG,ALLOGENEIC BONE MARROW TRANSPLANT,12.7548,25.0,28.5,2020
014,PRE,MED,ALLOGENEIC BONE MARROW TRANSPLANT,12.7788,24.1,27.2,2021
014,PRE,MED,ALLOGENEIC BONE MARROW TRANSPLANT,10.6770,24.1,27.2,2022
014,PRE,MED,ALLOGENEIC BONE MARROW TRANSPLANT,11.1930,25.7,28.6,2023
016,PRE,P,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,6.1746,17.8,19.2,2016
016,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,6.1050,17.2,18.5,2017
016,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,6.4441,17.4,18.8,2018
016,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT  W CC/MCC OR T-CELL IMMUNOTHERAPY,6.5394,17.1,18.4,2019
016,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC OR T-CELL IMMUNOTHERAPY,6.8852,16.8,18.1,2020
016,PRE,MED,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,6.7262,17.1,18.3,2021
016,PRE,MED,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,6.7363,17.1,18.3,2022
016,PRE,MED,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,6.0844,16.6,17.6,2023
017,PRE,P,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.3721,10.0,12.8,2016
017,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.0701,8.5,11.6,2017
017,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.528,9.6,12.5,2018
017,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.3811,7.9,10.7,2019
017,PRE,SURG,AUTOLOGOUS BONE MARROW TRANSPLANT W/O CC/MCC,4.4474,7.8,10.5,2020
017,PRE,MED,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,4.8302,8.9,11.6,2021
017,PRE,MED,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,4.8557,8.9,11.6,2022
017,PRE,MED,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,4.3701,7.3,10.5,2023
018,PRE,MED,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL IMMUNOTHERAPY,37.3290,15.6,17.6,2021
018,PRE,MED,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,37.4501,15.6,17.6,2022
018,PRE,MED,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,36.1452,14.7,17.4,2023
019,PRE,SURG,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,6.6619,11.0,12.9,2021
019,PRE,SURG,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,6.6797,11.0,12.9,2022
019,PRE,SURG,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,7.1346,10.8,11.9,2023
020,01,P,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,9.7571,13.6,16.8,2016
020, 01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,9.7053,13.4,16.4,2017
020,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,9.9991,13.5,16.7,2018
020,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,10.4253,13.6,16.5,2019
020,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,10.8210,13.5,16.9,2020
020,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,10.3201,12.7,16.1,2021
020,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,10.3370,12.7,16.1,2022
020,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,9.3033,10.7,14.2,2023
021,01,P,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,7.1549,12.3,13.7,2016
021, 01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,7.2910,11.9,13.6,2017
021,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,7.5363,11.9,13.4,2018
021,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,7.9056,12.1,13.7,2019
021,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,8.2737,11.9,13.8,2020
021,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,7.5316,10.0,12.3,2021
021,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,7.5435,10.0,12.3,2022
021,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,6.7892,8.1,10.8,2023
022,01,P,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,4.9977,6.7,8.4,2016
022, 01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,4.6095,6.2,7.7,2017
022,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,5.7171,7,8.6,2018
022,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,5.1575,6.3,8.1,2019
022,01,SURG,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,4.9318,5.1,7.2,2020
022,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,4.8596,4.0,5.8,2021
022,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,4.8428,4.0,5.8,2022
022,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,4.3585,3.2,4.9,2023
023,01,P,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,5.3486,7.9,11.0,2016
023, 01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,5.3762,7.7,10.6,2017
023,01,SURG,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,5.4949,7.6,10.6,2018
023,01,SURG,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,5.4601,7.3,10.2,2019
023,01,SURG,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,5.6171,7.1,9.9,2020
023,01,SURG,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,5.6623,7.1,9.8,2021
023,01,SURG,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,5.6719,7.1,9.8,2022
023,01,SURG,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,5.7314,7.3,10.2,2023
024,01,P,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,3.7976,4.2,5.9,2016
024, 01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,4.0114,4.1,5.5,2017
024,01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,3.8314,4.2,5.5,2018
024,01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,3.9194,4.3,5.7,2019
024,01,SURG,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,4.0165,4.2,5.3,2020
024,01,SURG,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,3.9325,4.1,5.2,2021
024,01,SURG,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,3.9390,4.1,5.2,2022
024,01,SURG,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,3.9488,4.1,5.2,2023
025,01,P,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.2965,7.2,9.3,2016
025, 01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.2413,7.1,9.2,2017
025,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.3064,7,9.2,2018
025,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.2775,6.7,8.8,2019
025,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,4.3945,6.6,8.8,2020
025,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,4.4917,6.6,8.8,2021
025,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,4.4974,6.6,8.8,2022
025,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,4.5405,6.6,9.0,2023
026,01,P,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2.9958,4.6,6.1,2016
026, 01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2.9723,4.4,5.8,2017
026,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2.9971,4.2,5.6,2018
026,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,3.0157,4.3,5.7,2019
026,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,3.0458,4.0,5.5,2020
026,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,3.0580,3.8,5.3,2021
026,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,3.0620,3.8,5.3,2022
026,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,3.0235,3.6,5.1,2023
027,01,P,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.2835,2.4,3.1,2016
027, 01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.3761,2.3,3.0,2017
027,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.3665,2.2,2.9,2018
027,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.4057,2.1,2.7,2019
027,01,SURG,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,2.3967,1.9,2.6,2020
027,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,2.5118,1.9,2.5,2021
027,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,2.5143,1.9,2.5,2022
027,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,2.4954,1.8,2.4,2023
028,01,P,SPINAL PROCEDURES W MCC,5.3695,9.3,11.7,2016
028, 01,SURG,SPINAL PROCEDURES W MCC,5.5439,9.4,11.9,2017
028,01,SURG,SPINAL PROCEDURES W MCC,5.5586,9.1,11.8,2018
028,01,SURG,SPINAL PROCEDURES W MCC,5.3748,9.0,11.8,2019
028,01,SURG,SPINAL PROCEDURES W MCC,5.5904,8.9,11.5,2020
028,01,SURG,SPINAL PROCEDURES WITH MCC,5.8200,9.3,12.2,2021
028,01,SURG,SPINAL PROCEDURES WITH MCC,5.8231,9.3,12.2,2022
028,01,SURG,SPINAL PROCEDURES WITH MCC,5.8775,9.8,12.3,2023
029,01,P,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3.0548,4.8,6.2,2016
029, 01,SURG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3.1882,5.0,6.5,2017
029,01,SURG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3.2737,4.2,5.7,2018
029,01,SURG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3.1557,4.4,5.8,2019
029,01,SURG,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3.2070,4.4,5.8,2020
029,01,SURG,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3.2950,4.5,6.0,2021
029,01,SURG,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3.2968,4.5,6.0,2022
029,01,SURG,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3.4176,4.9,6.3,2023
030,01,P,SPINAL PROCEDURES W/O CC/MCC,1.7982,2.6,3.3,2016
