MS_DRG_TYPE,MS_DRG_CAT,MS_DRG_CAT_DESC,MS_DRG_GRP,MS_DRG_GRP_DESC,MS_DRG,MS_DRG_DESC,BUNDLE_NAME,Weights,Geometric_mean_LOS,Arithmetic_mean_LOS,VERSION,EFFECTIVE_DATE,TERMINATION_DATE,BPCIA,CJ_PERINATAL,KCC,PPI_IP_PROC,PPI_IOP_PROC,PPI_IOP_MJRLE,PPI_OP_PROC,PPI_PR_PROC,PPI_IP_MED,PPI_CH_MED,PPI_AC_MED,PPI_CHEMO,PPI_PERINATAL
P,0,PRE-MDC HIGH COST PROCEDURES,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES",11,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",,4.9191,10.9,13.5,,,,X, ,,,,,,,,,,,
P,0,PRE-MDC HIGH COST PROCEDURES,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES",12,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY WITH CC",,3.5236,8.5,9.7,,,,X, ,,,,,,,,,,,
P,0,PRE-MDC HIGH COST PROCEDURES,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES",13,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",,2.4088,6,6.8,,,,X, ,,,,,,,,,,,
P,0,PRE-MDC HIGH COST PROCEDURES,9,BONE MARROW TRANSPLANT,14,ALLOGENEIC BONE MARROW TRANSPLANT,,11.6353,23.9,27.4,,,,X, ,,X,X,X,X,X,X,X,X,,X
P,0,PRE-MDC HIGH COST PROCEDURES,9,BONE MARROW TRANSPLANT,15,AUTOLOGOUS BONE MARROW TRANSPLANT,,,,,V28,,10/1/2011,, ,,X,X,X,X,X,X,X,X,,X
P,0,PRE-MDC HIGH COST PROCEDURES,9,BONE MARROW TRANSPLANT,16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC OR T-CELL IMMUNOTHERAPY,,6.4441,17.4,18.8,,,,X, ,,X,X,X,X,X,X,X,X,,X
P,0,PRE-MDC HIGH COST PROCEDURES,9,BONE MARROW TRANSPLANT,17,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,,4.528,9.6,12.5,,,,X, ,,X,X,X,X,X,X,X,X,,X
M,0,PRE-MDC HIGH COST PROCEDURES,18,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL IMMUNOTHERAPY,18,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL IMMUNOTHERAPY,,37.1412,,,V38,,,X,,,X,X,X,X,X,X,X,X,,X
P,0,PRE-MDC HIGH COST PROCEDURES,19,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,19,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,,6.6601,,,V38,,,X,,K,X,X,X,X,X,X,X,X,,X
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE,20,INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH MCC,Intracranial vascular procedures w pdx hemorrhage,9.9991,13.5,16.7,,,,, ,,P11,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE,21,INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH CC,Intracranial vascular procedures w pdx hemorrhage,7.5363,11.9,13.4,,,,, ,,P11,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE,22,INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITHOUT CC/MCC,Intracranial vascular procedures w pdx hemorrhage,5.7171,7,8.6,,,,, ,,P11,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,23,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX,23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,Craniotomy,5.4949,7.6,10.6,,,,, ,,P09,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,23,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX,24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITHOUT MCC,Craniotomy,3.8314,4.2,5.5,,,,, ,,P09,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES,25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,Craniotomy,4.3064,7,9.2,,,,, ,,P09,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES,26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,Craniotomy,2.9971,4.2,5.6,,,,, ,,P09,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES,27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,Craniotomy,2.3665,2.2,2.9,,,,, ,,P09,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,28,SPINAL PROCEDURES,28,SPINAL PROCEDURES WITH MCC,Spinal procedures,5.5586,9.1,11.8,,,,, ,,P13,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,28,SPINAL PROCEDURES,29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,Spinal procedures,3.2737,4.2,5.7,,,,, ,,P13,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,28,SPINAL PROCEDURES,30,SPINAL PROCEDURES WITHOUT CC/MCC,Spinal procedures,2.1333,2.2,2.8,,,,, ,,P13,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,31,VENTRICULAR SHUNT PROCEDURES,31,VENTRICULAR SHUNT PROCEDURES WITH MCC,Ventricular shunt procedures,4.0742,7,10.1,,,,X, ,,P14,,,,,,,,X,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,31,VENTRICULAR SHUNT PROCEDURES,32,VENTRICULAR SHUNT PROCEDURES WITH CC,Ventricular shunt procedures,2.1276,3.2,4.5,,,,X, ,,P14,,,,,,,,X,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,31,VENTRICULAR SHUNT PROCEDURES,33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,Ventricular shunt procedures,1.6992,1.9,2.4,,,,X, ,,P14,,,,,,,,X,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,34,CAROTID ARTERY STENT PROCEDURE,34,CAROTID ARTERY STENT PROCEDURE WITH MCC,Carotid artery stent procedure,3.9918,5.2,7.6,,,,, ,,P10,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,34,CAROTID ARTERY STENT PROCEDURE,35,CAROTID ARTERY STENT PROCEDURE WITH CC,Carotid artery stent procedure,2.2278,2.1,3.1,,,,, ,,P10,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,34,CAROTID ARTERY STENT PROCEDURE,36,CAROTID ARTERY STENT PROCEDURE WITHOUT CC/MCC,Carotid artery stent procedure,1.7636,1.3,1.5,,,,, ,,P10,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,37,EXTRACRANIAL PROCEDURES,37,EXTRACRANIAL PROCEDURES WITH MCC,Extracranial procedures,3.1689,5.1,7.4,,,,, ,,P10,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,37,EXTRACRANIAL PROCEDURES,38,EXTRACRANIAL PROCEDURES WITH CC,Extracranial procedures,1.5677,2.2,3.1,,,,, ,,P10,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,37,EXTRACRANIAL PROCEDURES,39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,Extracranial procedures,1.1137,1.3,1.5,,,,, ,,P10,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC,40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",Periph/cranial nerve & other nerv syst proc,3.8078,7.8,10.6,,,,, ,,P12,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC,41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR",Periph/cranial nerve & other nerv syst proc,2.3311,4.4,5.5,,,,, ,,P12,,,,,,,,,
P,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC,42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",Periph/cranial nerve & other nerv syst proc,1.9105,2.6,3.2,,,,, ,,P12,,,,,,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,52,SPINAL DISORDERS & INJURIES,52,SPINAL DISORDERS AND INJURIES WITH CC/MCC,Other disorders of nervous system,1.5091,4,5.4,,,,, ,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,52,SPINAL DISORDERS & INJURIES,53,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,Other disorders of nervous system,0.9333,2.7,3.2,,,,, ,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,54,NERVOUS SYSTEM NEOPLASMS,54,NERVOUS SYSTEM NEOPLASMS WITH MCC,Nervous system neoplasms,1.315,3.9,5.2,,,,X, ,,X,X,X,X,X,X,X,X,,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,54,NERVOUS SYSTEM NEOPLASMS,55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,Nervous system neoplasms,0.9995,2.9,3.9,,,,X, ,,X,X,X,X,X,X,X,X,,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,Degenerative nervous system disorders,1.9135,5.4,7.7,,,,, ,,,,,,,M003,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,Degenerative nervous system disorders,1.1351,3.8,5.4,,,,, ,,,,,,,M003,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA,58,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,Multiple sclerosis & cerebellar ataxia,1.6383,5,6.6,,,,, ,,,,,,,M004,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA,59,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,Multiple sclerosis & cerebellar ataxia,1.0725,3.7,4.6,,,,, ,,,,,,,M004,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA,60,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,Multiple sclerosis & cerebellar ataxia,0.8448,3,3.6,,,,, ,,,,,,,M004,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,61,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC",Stroke,2.7979,5,6.4,,,,V,,,,,,,,M005,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,61,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT,62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC",Stroke,1.9321,3.5,4.1,,,,V,,,,,,,,M005,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,61,ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT,63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC",Stroke,1.6169,2.6,2.9,,,,V,,,,,,,,M005,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,Stroke,1.7685,4.4,6.1,,,,V,,,,,,,,M005,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,Stroke,1.0311,3.1,3.8,,,,V,,,,,,,,M005,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,Stroke,0.7466,2.2,2.6,,,,V,,,,,,,,M005,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,67,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT,67,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,Other disorders of nervous system,1.4132,3.5,4.8,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,67,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT,68,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,Other disorders of nervous system,0.8959,2.2,2.8,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,69,TRANSIENT ISCHEMIA,69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,Transient ischemia,0.7521,2.1,2.5,,,,,,,,,,,,M006,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,70,NONSPECIFIC CEREBROVASCULAR DISORDERS,70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,Nonspecific cerebrovascular disorders,1.6486,4.6,6.4,,,,,,,,,,,,M007,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,70,NONSPECIFIC CEREBROVASCULAR DISORDERS,71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,Nonspecific cerebrovascular disorders,0.9896,3.4,4.4,,,,,,,,,,,,M007,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,70,NONSPECIFIC CEREBROVASCULAR DISORDERS,72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,Nonspecific cerebrovascular disorders,0.7602,2.4,3,,,,,,,,,,,,M007,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,73,CRANIAL & PERIPHERAL NERVE DISORDERS,73,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,Cranial & peripheral nerve disorders,1.4038,3.9,5.2,,,,,,,,,,,,M008,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,73,CRANIAL & PERIPHERAL NERVE DISORDERS,74,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,Cranial & peripheral nerve disorders,0.9535,2.9,3.7,,,,,,,,,,,,M008,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,75,VIRAL MENINGITIS,75,VIRAL MENINGITIS WITH CC/MCC,Other disorders of nervous system,1.6503,5,6.4,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,75,VIRAL MENINGITIS,76,VIRAL MENINGITIS WITHOUT CC/MCC,Other disorders of nervous system,0.9615,3.1,3.7,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,77,HYPERTENSIVE ENCEPHALOPATHY,77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,Other disorders of nervous system,1.5717,4.3,5.5,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,77,HYPERTENSIVE ENCEPHALOPATHY,78,HYPERTENSIVE ENCEPHALOPATHY WITH CC,Other disorders of nervous system,0.9932,3.2,3.9,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,77,HYPERTENSIVE ENCEPHALOPATHY,79,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,Other disorders of nervous system,0.7683,2.3,2.7,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,80,NONTRAUMATIC STUPOR & COMA,80,NONTRAUMATIC STUPOR AND COMA WITH MCC,Other disorders of nervous system,1.7366,4.5,6.6,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,80,NONTRAUMATIC STUPOR & COMA,81,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,Other disorders of nervous system,0.7559,2.5,3.3,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR",82,"TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITH MCC",Traumatic stupor & coma,2.1536,3.8,6.3,,,,X, ,,X,X,X,X,X,M009X,X,X,X,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR",83,"TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITH CC",Traumatic stupor & coma,1.2566,3.3,4.2,,,,X, ,,X,X,X,X,X,M009X,X,X,X,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR",84,"TRAUMATIC STUPOR AND COMA, COMA >1 HOUR WITHOUT CC/MCC",Traumatic stupor & coma,0.9001,2.2,2.7,,,,X, ,,X,X,X,X,X,M009X,X,X,X,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR",85,"TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITH MCC",Traumatic stupor & coma,2.0478,4.8,6.6,,,,X, ,,X,X,X,X,X,M009X,X,X,X,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR",86,"TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITH CC",Traumatic stupor & coma,1.1823,3.2,4.1,,,,X, ,,X,X,X,X,X,M009X,X,X,X,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR",87,"TRAUMATIC STUPOR AND COMA, COMA <1 HOUR WITHOUT CC/MCC",Traumatic stupor & coma,0.832,2.2,2.7,,,,X, ,,X,X,X,X,X,M009X,X,X,X,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,88,CONCUSSION,88,CONCUSSION WITH MCC,Other disorders of nervous system,1.4042,3.5,4.5,,,,X, ,,X,X,X,X,X,M001X,X,X,X,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,88,CONCUSSION,89,CONCUSSION WITH CC,Other disorders of nervous system,1.0067,2.7,3.3,,,,X, ,,X,X,X,X,X,M001X,X,X,X,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,88,CONCUSSION,90,CONCUSSION WITHOUT CC/MCC,Other disorders of nervous system,0.7906,2,2.3,,,,X, ,,X,X,X,X,X,M001X,X,X,X,X
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,91,OTHER DISORDERS OF NERVOUS SYSTEM,91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,Other disorders of nervous system,1.54,4.1,5.6,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,91,OTHER DISORDERS OF NERVOUS SYSTEM,92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,Other disorders of nervous system,0.9368,3,3.9,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,91,OTHER DISORDERS OF NERVOUS SYSTEM,93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,Other disorders of nervous system,0.729,2.2,2.7,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM,94,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,Other disorders of nervous system,3.4131,7.7,10.2,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM,95,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,Other disorders of nervous system,2.3514,5.8,7,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM,96,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,Other disorders of nervous system,2.2182,4.7,5.5,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS,97,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,Other disorders of nervous system,3.4041,8.5,11.3,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS,98,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,Other disorders of nervous system,1.8736,5.5,7.3,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS,99,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,Other disorders of nervous system,1.2059,3.6,4.6,,,,,,,,,,,,M001,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,100,SEIZURES,100,SEIZURES WITH MCC,Seizures,1.6478,4.2,5.7,,,,i,,,,,,,,M010,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,100,SEIZURES,101,SEIZURES WITHOUT MCC,Seizures,0.8286,2.6,3.3,,,,i,,,,,,,,M010,,,,
M,1,DISEASES & DISORDERS OF THE NERVOUS SYSTEM,102,HEADACHES,102,HEADACHES WITH MCC,Headaches,1.0611,3,4.1,,,,,,,,,,,,M011,,,,
