HCPCS/CPT Code	Short Description	In CY2019 Included List?	In CY2020 Included List?	Footnote
474	Anesth surgery of rib	yes	yes	
500	Anesth esophageal surgery	yes	yes	
520	Anesth chest procedure	yes	yes	
522	Anesth chest lining biopsy	yes	yes	
524	Anesth chest drainage	yes	yes	
528	Anes mediascpy & dx thorscpy	yes	yes	
529	Anes medscpy&thorscpy 1 lung	yes	yes	
530	Anesth pacemaker insertion	yes	yes	
532	Anesth vascular access	yes	yes	
534	Anesth cardioverter/defib	yes	yes	
537	Anesth cardiac electrophys	yes	yes	
539	Anesth trach-bronch reconst	yes	yes	
540	Anesth chest surgery	yes	yes	
541	Anesth one lung ventilation	yes	yes	
542	Anesthesia removal pleura	yes	yes	
546	Anesth lung chest wall surg	yes	yes	
548	Anesth trachea bronchi surg	yes	yes	
550	Anesth sternal debridement	yes	yes	
560	Anesth heart surg w/o pump	yes	yes	
561	Anesth heart surg <1 yr	yes	yes	
562	Anesth hrt surg w/pmp age 1+	yes	yes	
563	Anesth heart surg w/arrest	yes	yes	
566	Anesth cabg w/o pump	yes	yes	
567	Anesth cabg w/pump	yes	yes	
580	Anesth heart/lung transplnt	yes	yes	
600	Anesth spine cord surgery	yes	yes	
604	Anesth sitting procedure	yes	yes	
620	Anesth spine cord surgery	yes	yes	
625	Anes spine tranthor w/o vent	yes	yes	
626	Anes spine transthor w/vent	yes	yes	
630	Anesth spine cord surgery	yes	yes	
632	Anesth removal of nerves	yes	yes	
635	Anesth lumbar puncture	yes	yes	
640	Anesth spine manipulation	yes	yes	
670	Anesth spine cord surgery	yes	yes	
700	Anesth abdominal wall surg	yes	yes	
702	Anesth for liver biopsy	yes	yes	
730	Anesth abdominal wall surg	yes	yes	
731	Anes upr gi ndsc px nos	yes	yes	
732	Anes upr gi ndsc px ercp	yes	yes	
750	Anesth repair of hernia	yes	yes	
752	Anesth repair of hernia	yes	yes	
754	Anesth repair of hernia	yes	yes	
756	Anesth repair of hernia	yes	yes	
770	Anesth blood vessel repair	yes	yes	
790	Anesth surg upper abdomen	yes	yes	
792	Anesth hemorr/excise liver	yes	yes	
794	Anesth pancreas removal	yes	yes	
796	Anesth for liver transplant	yes	yes	
797	Anesth surgery for obesity	yes	yes	
800	Anesth abdominal wall surg	yes	yes	
802	Anesth fat layer removal	yes	yes	
811	Anes lwr intst ndsc nos	yes	yes	
812	Anes lwr intst scr colsc	yes	yes	
813	Anes upr lwr gi ndsc px	yes	yes	
820	Anesth abdominal wall surg	yes	yes	
830	Anesth repair of hernia	yes	yes	
832	Anesth repair of hernia	yes	yes	
834	Anesth hernia repair < 1 yr	yes	yes	
836	Anesth hernia repair preemie	yes	yes	
840	Anesth surg lower abdomen	yes	yes	
842	Anesth amniocentesis	yes	yes	
844	Anesth pelvis surgery	yes	yes	
846	Anesth hysterectomy	yes	yes	
848	Anesth pelvic organ surg	yes	yes	
851	Anesth tubal ligation	yes	yes	
860	Anesth surgery of abdomen	yes	yes	
862	Anesth kidney/ureter surg	yes	yes	
864	Anesth removal of bladder	yes	yes	
865	Anesth removal of prostate	yes	yes	
866	Anesth removal of adrenal	yes	yes	
868	Anesth kidney transplant	yes	yes	
870	Anesth bladder stone surg	yes	yes	
872	Anesth kidney stone destruct	yes	yes	
873	Anesth kidney stone destruct	yes	yes	
880	Anesth abdomen vessel surg	yes	yes	
882	Anesth major vein ligation	yes	yes	
902	Anesth anorectal surgery	yes	yes	
904	Anesth perineal surgery	yes	yes	
906	Anesth removal of vulva	yes	yes	
908	Anesth removal of prostate	yes	yes	
910	Anesth bladder surgery	yes	yes	
912	Anesth bladder tumor surg	yes	yes	
914	Anesth removal of prostate	yes	yes	
916	Anesth bleeding control	yes	yes	
918	Anesth stone removal	yes	yes	
920	Anesth genitalia surgery	yes	yes	
921	Anesth vasectomy	yes	yes	
922	Anesth sperm duct surgery	yes	yes	
924	Anesth testis exploration	yes	yes	
926	Anesth removal of testis	yes	yes	
928	Anesth removal of testis	yes	yes	
930	Anesth testis suspension	yes	yes	
932	Anesth amputation of penis	yes	yes	
934	Anesth penis nodes removal	yes	yes	
936	Anesth penis nodes removal	yes	yes	
938	Anesth insert penis device	yes	yes	
940	Anesth vaginal procedures	yes	yes	
942	Anesth surg on vag/urethral	yes	yes	
944	Anesth vaginal hysterectomy	yes	yes	
948	Anesth repair of cervix	yes	yes	
950	Anesth vaginal endoscopy	yes	yes	
952	Anesth hysteroscope/graph	yes	yes	
1112	Anesth bone aspirate/bx	yes	yes	
1120	Anesth pelvis surgery	yes	yes	
1130	Anesth body cast procedure	yes	yes	
1140	Anesth amputation at pelvis	yes	yes	
1150	Anesth pelvic tumor surgery	yes	yes	
1160	Anesth pelvis procedure	yes	yes	
1170	Anesth pelvis surgery	yes	yes	
1173	Anesth fx repair pelvis	yes	yes	
1200	Anesth hip joint procedure	yes	yes	
1202	Anesth arthroscopy of hip	yes	yes	
1210	Anesth hip joint surgery	yes	yes	
1212	Anesth hip disarticulation	yes	yes	
1214	Anesth hip arthroplasty	yes	yes	
1215	Anesth revise hip repair	yes	yes	
1220	Anesth procedure on femur	yes	yes	
1230	Anesth surgery of femur	yes	yes	
1232	Anesth amputation of femur	yes	yes	
1234	Anesth radical femur surg	yes	yes	
1250	Anesth upper leg surgery	yes	yes	
1260	Anesth upper leg veins surg	yes	yes	
1270	Anesth thigh arteries surg	yes	yes	
1272	Anesth femoral artery surg	yes	yes	
1274	Anesth femoral embolectomy	yes	yes	
1320	Anesth knee area surgery	yes	yes	
1340	Anesth knee area procedure	yes	yes	
1360	Anesth knee area surgery	yes	yes	
1380	Anesth knee joint procedure	yes	yes	
1382	Anesth dx knee arthroscopy	yes	yes	
1390	Anesth knee area procedure	yes	yes	
1392	Anesth knee area surgery	yes	yes	
1400	Anesth knee joint surgery	yes	yes	
1402	Anesth knee arthroplasty	yes	yes	
1404	Anesth amputation at knee	yes	yes	
1420	Anesth knee joint casting	yes	yes	
1430	Anesth knee veins surgery	yes	yes	
1432	Anesth knee vessel surg	yes	yes	
1440	Anesth knee arteries surg	yes	yes	
1442	Anesth knee artery surg	yes	yes	
1444	Anesth knee artery repair	yes	yes	
1462	Anesth lower leg procedure	yes	yes	
1464	Anesth ankle/ft arthroscopy	yes	yes	
1470	Anesth lower leg surgery	yes	yes	
1472	Anesth achilles tendon surg	yes	yes	
1474	Anesth lower leg surgery	yes	yes	
1480	Anesth lower leg bone surg	yes	yes	
1482	Anesth radical leg surgery	yes	yes	
1484	Anesth lower leg revision	yes	yes	
1486	Anesth ankle replacement	yes	yes	
1490	Anesth lower leg casting	yes	yes	
1500	Anesth leg arteries surg	yes	yes	
1502	Anesth lwr leg embolectomy	yes	yes	
1520	Anesth lower leg vein surg	yes	yes	
1522	Anesth lower leg vein surg	yes	yes	
1610	Anesth surgery of shoulder	yes	yes	
1620	Anesth shoulder procedure	yes	yes	
1622	Anes dx shoulder arthroscopy	yes	yes	
1630	Anesth surgery of shoulder	yes	yes	
1634	Anesth shoulder joint amput	yes	yes	
1636	Anesth forequarter amput	yes	yes	
1638	Anesth shoulder replacement	yes	yes	
1650	Anesth shoulder artery surg	yes	yes	
1652	Anesth shoulder vessel surg	yes	yes	
1654	Anesth shoulder vessel surg	yes	yes	
1656	Anesth arm-leg vessel surg	yes	yes	
1670	Anesth shoulder vein surg	yes	yes	
1680	Anesth shoulder casting	yes	yes	
1710	Anesth elbow area surgery	yes	yes	
1712	Anesth uppr arm tendon surg	yes	yes	
1714	Anesth uppr arm tendon surg	yes	yes	
1716	Anesth biceps tendon repair	yes	yes	
1730	Anesth uppr arm procedure	yes	yes	
1732	Anesth dx elbow arthroscopy	yes	yes	
1740	Anesth upper arm surgery	yes	yes	
1742	Anesth humerus surgery	yes	yes	
1744	Anesth humerus repair	yes	yes	
1756	Anesth radical humerus surg	yes	yes	
1758	Anesth humeral lesion surg	yes	yes	
1760	Anesth elbow replacement	yes	yes	
1770	Anesth uppr arm artery surg	yes	yes	
1772	Anesth uppr arm embolectomy	yes	yes	
1780	Anesth upper arm vein surg	yes	yes	
1782	Anesth uppr arm vein repair	yes	yes	
1810	Anesth lower arm surgery	yes	yes	
1820	Anesth lower arm procedure	yes	yes	
1829	Anesth dx wrist arthroscopy	yes	yes	
1830	Anesth lower arm surgery	yes	yes	
1832	Anesth wrist replacement	yes	yes	
1840	Anesth lwr arm artery surg	yes	yes	
1842	Anesth lwr arm embolectomy	yes	yes	
1844	Anesth vascular shunt surg	yes	yes	
1850	Anesth lower arm vein surg	yes	yes	
1852	Anesth lwr arm vein repair	yes	yes	
1860	Anesth lower arm casting	yes	yes	
1916	Anesth dx arteriography	yes	yes	
1920	Anesth catheterize heart	yes	yes	
1922	Anesth cat or mri scan	yes	yes	
1924	Anes ther interven rad artrl	yes	yes	
1925	Anes ther interven rad card	yes	yes	
1926	Anes tx interv rad hrt/cran	yes	yes	
1930	Anes ther interven rad vein	yes	yes	
1931	Anes ther interven rad tips	yes	yes	
1932	Anes tx interv rad th vein	yes	yes	
1933	Anes tx interv rad cran vein	yes	yes	
1935	Anesth perc img dx sp proc	yes	yes	
1936	Anesth perc img tx sp proc	yes	yes	
1951	Anesth burn less 4 percent	yes	yes	
1952	Anesth burn 4-9 percent	yes	yes	
1958	Anesth antepartum manipul	yes	yes	
1960	Anesth vaginal delivery	yes	yes	
1961	Anesth cs delivery	yes	yes	
1962	Anesth emer hysterectomy	yes	yes	
1963	Anesth cs hysterectomy	yes	yes	
1965	Anesth inc/missed ab proc	yes	yes	1
1967	Anesth/analg vag delivery	yes	yes	
1990	Support for organ donor	yes	yes	
1991	Anesth nerve block/inj	yes	yes	
1992	Anesth n block/inj prone	yes	yes	
1996	Hosp manage cont drug admin	yes	yes	
1999	Unlisted anesth procedure	yes	yes	
10021	Fna bx w/o img gdn 1st les	yes	yes	
10030	Guide cathet fluid drainage	yes	yes	
10040	Acne surgery	yes	yes	
10060	Drainage of skin abscess	yes	yes	
10061	Drainage of skin abscess	yes	yes	
10080	Drainage of pilonidal cyst	yes	yes	
10081	Drainage of pilonidal cyst	yes	yes	
10120	Remove foreign body	yes	yes	
10121	Remove foreign body	yes	yes	
10140	Drainage of hematoma/fluid	yes	yes	
10160	Puncture drainage of lesion	yes	yes	
10180	Complex drainage wound	yes	yes	
11000	Debride infected skin	yes	yes	
11004	Debride genitalia & perineum	yes	yes	
11005	Debride abdom wall	yes	yes	
11006	Debride genit/per/abdom wall	yes	yes	
11010	Debride skin at fx site	yes	yes	
11011	Debride skin musc at fx site	yes	yes	
11012	Deb skin bone at fx site	yes	yes	
11042	Deb subq tissue 20 sq cm/<	yes	yes	
11043	Deb musc/fascia 20 sq cm/<	yes	yes	
11044	Deb bone 20 sq cm/<	yes	yes	
11055	Trim skin lesion	yes	yes	
11056	Trim skin lesions 2 to 4	yes	yes	
11057	Trim skin lesions over 4	yes	yes	
11200	Removal of skin tags <w/15	yes	yes	
11300	Shave skin lesion 0.5 cm/<	yes	yes	
11301	Shave skin lesion 0.6-1.0 cm	yes	yes	
11302	Shave skin lesion 1.1-2.0 cm	yes	yes	
11303	Shave skin lesion >2.0 cm	yes	yes	
11305	Shave skin lesion 0.5 cm/<	yes	yes	
11306	Shave skin lesion 0.6-1.0 cm	yes	yes	
11307	Shave skin lesion 1.1-2.0 cm	yes	yes	
11308	Shave skin lesion >2.0 cm	yes	yes	
11310	Shave skin lesion 0.5 cm/<	yes	yes	
11311	Shave skin lesion 0.6-1.0 cm	yes	yes	
11312	Shave skin lesion 1.1-2.0 cm	yes	yes	
11313	Shave skin lesion >2.0 cm	yes	yes	
11400	Exc tr-ext b9+marg 0.5 cm<	yes	yes	
11401	Exc tr-ext b9+marg 0.6-1 cm	yes	yes	
11402	Exc tr-ext b9+marg 1.1-2 cm	yes	yes	
11403	Exc tr-ext b9+marg 2.1-3cm	yes	yes	
11404	Exc tr-ext b9+marg 3.1-4 cm	yes	yes	
11406	Exc tr-ext b9+marg >4.0 cm	yes	yes	
11420	Exc h-f-nk-sp b9+marg 0.5/<	yes	yes	
11421	Exc h-f-nk-sp b9+marg 0.6-1	yes	yes	
11422	Exc h-f-nk-sp b9+marg 1.1-2	yes	yes	
11423	Exc h-f-nk-sp b9+marg 2.1-3	yes	yes	
11424	Exc h-f-nk-sp b9+marg 3.1-4	yes	yes	
11426	Exc h-f-nk-sp b9+marg >4 cm	yes	yes	
11440	Exc face-mm b9+marg 0.5 cm/<	yes	yes	
11441	Exc face-mm b9+marg 0.6-1 cm	yes	yes	
11442	Exc face-mm b9+marg 1.1-2 cm	yes	yes	
11443	Exc face-mm b9+marg 2.1-3 cm	yes	yes	
11444	Exc face-mm b9+marg 3.1-4 cm	yes	yes	
11446	Exc face-mm b9+marg >4 cm	yes	yes	
11450	Removal sweat gland lesion	yes	yes	
11451	Removal sweat gland lesion	yes	yes	
11462	Removal sweat gland lesion	yes	yes	
11463	Removal sweat gland lesion	yes	yes	
11470	Removal sweat gland lesion	yes	yes	
11471	Removal sweat gland lesion	yes	yes	
11600	Exc tr-ext mal+marg 0.5 cm/<	yes	yes	
11601	Exc tr-ext mal+marg 0.6-1 cm	yes	yes	
11602	Exc tr-ext mal+marg 1.1-2 cm	yes	yes	
11603	Exc tr-ext mal+marg 2.1-3 cm	yes	yes	
11604	Exc tr-ext mal+marg 3.1-4 cm	yes	yes	
11606	Exc tr-ext mal+marg >4 cm	yes	yes	
11620	Exc h-f-nk-sp mal+marg 0.5/<	yes	yes	
11621	Exc s/n/h/f/g mal+mrg 0.6-1	yes	yes	
11622	Exc s/n/h/f/g mal+mrg 1.1-2	yes	yes	
11623	Exc s/n/h/f/g mal+mrg 2.1-3	yes	yes	
11624	Exc s/n/h/f/g mal+mrg 3.1-4	yes	yes	
11626	Exc s/n/h/f/g mal+mrg >4 cm	yes	yes	
11640	Exc f/e/e/n/l mal+mrg 0.5cm<	yes	yes	
11641	Exc f/e/e/n/l mal+mrg 0.6-1	yes	yes	
11642	Exc f/e/e/n/l mal+mrg 1.1-2	yes	yes	
11643	Exc f/e/e/n/l mal+mrg 2.1-3	yes	yes	
11644	Exc f/e/e/n/l mal+mrg 3.1-4	yes	yes	
11646	Exc f/e/e/n/l mal+mrg >4 cm	yes	yes	
11719	Trim nail(s) any number	yes	yes	
11720	Debride nail 1-5	yes	yes	
11721	Debride nail 6 or more	yes	yes	
11730	Removal of nail plate	yes	yes	
11740	Drain blood from under nail	yes	yes	
11750	Removal of nail bed	yes	yes	
11760	Repair of nail bed	yes	yes	
11762	Reconstruction of nail bed	yes	yes	
11765	Excision of nail fold toe	yes	yes	
11770	Remove pilonidal cyst simple	yes	yes	
11771	Remove pilonidal cyst exten	yes	yes	
11772	Remove pilonidal cyst compl	yes	yes	
11900	Inject skin lesions </w 7	yes	yes	
11901	Inject skin lesions >7	yes	yes	
11920	Correct skin color 6.0 cm/<	yes	yes	
11921	Correct skn color 6.1-20.0cm	yes	yes	
11950	Tx contour defects 1 cc/<	yes	yes	
11951	Tx contour defects 1.1-5.0cc	yes	yes	
11952	Tx contour defects 5.1-10cc	yes	yes	
11954	Tx contour defects >10.0 cc	yes	yes	
11960	Insert tissue expander(s)	yes	yes	
11970	Replace tissue expander	yes	yes	
11971	Remove tissue expander(s)	yes	yes	
11976	Remove contraceptive capsule	yes	yes	
11980	Implant hormone pellet(s)	yes	yes	
11981	Insert drug implant device	yes	yes	
11982	Remove drug implant device	yes	yes	
11983	Remove/insert drug implant	yes	yes	
12001	Rpr s/n/ax/gen/trnk 2.5cm/<	yes	yes	
12002	Rpr s/n/ax/gen/trnk2.6-7.5cm	yes	yes	
